term,definition,session,sessionname
Askese,"Selbstverweigerung. (In christlichen Traditionen: insbesonder nach Modell Jesu Christi)",5,
Koinobitentum,"Mönchtum als gemeinschaftliches Leben",5,
Märtyrer,"eine Person, die ihren Glauben bekannt hat, wenn dies das Leben gekostet hat. (In christlichen Traditionen: keine Kämpfer)",5,
Heiliger,"eine Person, die für ihren ausgezeichneten Charakter (insbesondere Christus-ähnliches Verhalten, asketische Triumphe bzw. Wunder) von einer Kirche verehrt ist (z.B. in der Liturgie)",5,
"_Benei/Benath qiyama_","Söhne/Töchter des Bundes bzw. der Auferstehung (?): Gruppen von Männern oder Frauen, die in Syrien und Nordmesopotamien in der Zeit des 4. bis 6. Jhdt. n. Chr. lebten und sich durch asketische Praktiken auszeichneten, ähnlich wie Mönchen",5,
"_Iḥidāyā_ bzw. Anachoret","(einzig) jemand, der ein asketisches Leben allein führt (wie Sankt Simeon auf der Säule) und ggf. Kontakt mit anderen vermeidet",5,
